"Field1","Field2_Text","Field3"
"""To This Day"" ... for the bullied and beautiful | Shane Koyczan                                                                                                                              Verified            3.3M views6 years ago","""To This Day"" ... for the bullied and beautiful | Shane Koyczan","3.3M views"
"The surprising science of happiness | Dan Gilbert                                                                                                                              Verified            3.3M views7 years ago","The surprising science of happiness | Dan Gilbert","3.3M views"
"How I learned to read -- and trade stocks -- in prison | Curtis ""Wall Street"" Carroll                                                                                                                              Verified            3.2M views2 years ago","How I learned to read -- and trade stocks -- in prison | Curtis ""Wall Street"" Carroll","3.2M views"
"How to practice emotional first aid | Guy Winch                                                                                                                              Verified            3.2M views4 years ago","How to practice emotional first aid | Guy Winch","3.2M views"
"How to take a picture of a black hole | Katie Bouman                                                                                                                              Verified            3.1M views2 years ago","How to take a picture of a black hole | Katie Bouman","3.1M views"
"The power of believing that you can improve | Carol Dweck                                                                                                                              Verified            3.1M views4 years ago","The power of believing that you can improve | Carol Dweck","3.1M views"
"The story of 'Oumuamua, the first visitor from another star system | Karen J. Meech                                                                                                                              Verified            3.1M views1 year ago","The story of 'Oumuamua, the first visitor from another star system | Karen J. Meech","3.1M views"
"A beatboxing lesson from a father-daughter duo | Nicole Paris and Ed Cage                                                                                                                              Verified            3M views3 years ago","A beatboxing lesson from a father-daughter duo | Nicole Paris and Ed Cage","3M views"
"A young guitarist meets his hero | Usman Riaz and Preston Reed                                                                                                                              Verified            3M views7 years ago","A young guitarist meets his hero | Usman Riaz and Preston Reed","3M views"
"How sampling transformed music | Mark Ronson                                                                                                                              Verified            3M views5 years ago","How sampling transformed music | Mark Ronson","3M views"
"The best stats you've ever seen | Hans Rosling                                                                                                                              Verified            3M views12 years ago","The best stats you've ever seen | Hans Rosling","3M views"
"All it takes is 10 mindful minutes | Andy Puddicombe                                                                                                                              Verified            3M views6 years ago","All it takes is 10 mindful minutes | Andy Puddicombe","3M views"
"The secrets of learning a new language | Lýdia Machová                                                                                                                              Verified            2.9M views10 months ago","The secrets of learning a new language | Lýdia Machová","2.9M views"
"The single biggest reason why start-ups succeed | Bill Gross                                                                                                                              Verified            2.9M views4 years ago","The single biggest reason why start-ups succeed | Bill Gross","2.9M views"
"The happy secret to better work | Shawn Achor                                                                                                                              Verified            2.9M views7 years ago","The happy secret to better work | Shawn Achor","2.9M views"
"Where are all the aliens? | Stephen Webb                                                                                                                              Verified            2.9M views1 year ago","Where are all the aliens? | Stephen Webb","2.9M views"
